PKAIS	505										
Name	Type1	Type2	Atk	Sp Atk	Def	Sp Def	Spd	Hp	Weight (kg)	Ability 1	Ability 2
Rotom-C	Electric	Ghost	67	107	109	109	88	52	0.3	Levitate	---
Rotom-F	Electric	Ghost	66	106	108	108	87	51	0.3	Levitate	---
Rotom-H	Electric	Ghost	68	108	110	110	89	53	0.3	Levitate	---
Rotom-S	Electric	Ghost	65	105	107	107	86	50	0.3	Levitate	---
Rotom-W	Electric	Ghost	69	109	111	111	90	54	0.3	Levitate	---
Sableye	Dark	Ghost	75	65	75	65	50	50	11	Keen Eye	Stall
Salamence	Dragon	Flying	135	110	80	80	100	95	102.6	Intimidate	---
Sandshrew	Ground	None	75	20	85	30	40	50	12	Sand Veil	---
Sandslash	Ground	None	100	45	110	55	65	75	29.5	Sand Veil	---
Sceptile	Grass	None	85	105	65	85	120	70	52.2	Overgrow	---
Scizor	Bug	Steel	130	55	100	80	65	70	118	Swarm	Technician
Scyther	Bug	Flying	110	55	80	80	105	70	56	Swarm	Technician
Seadra	Water	None	65	95	95	45	85	55	25	Poison Point	Sniper
Seaking	Water	None	92	65	65	80	68	80	39	Swift Swim	Water Veil
Sealeo	Ice	Water	60	75	70	70	45	90	87.6	Thick Fat	Ice Body
Seedot	Grass	None	40	30	50	30	30	40	4	Chlorophyll	Early Bird
Seel	Water	None	45	45	55	70	45	65	90	Thick Fat	Hydration
Sentret	Normal	None	46	35	34	45	20	35	6	Run Away	Keen Eye
Seviper	Poison	None	100	100	60	60	65	73	52.5	Shed Skin	---
Sharpedo	Water	Dark	120	95	40	40	95	70	88.8	Rough Skin	---
Shaymin	Grass	None	100	100	100	100	100	100	2.1	Natural Cure	---
Shaymin-S	Grass	Flying	103	127	75	120	75	100	2.1	Serene Grace	---
Shedinja	Bug	Ghost	90	30	45	30	40	1	1.2	Wonder Guard	---
Shelgon	Dragon	None	95	60	100	50	50	65	110.5	Rock Head	---
Shellder	Water	None	65	45	100	25	40	30	4	Shell Armor	Skill Link
Shellos	Water	None	48	57	48	62	34	76	6.3	Sticky Hold	Storm Drain
Shieldon	Rock	Steel	42	42	118	88	30	30	57	Sturdy	---
Shiftry	Grass	Dark	100	90	60	60	80	90	59.6	Chlorophyll	Early Bird
Shinx	Electric	None	65	40	34	34	45	45	9.5	Intimidate	Rivalry
Shroomish	Grass	None	40	40	60	60	35	60	4.5	Effect Spore	Poison Heal
Shuckle	Bug	Rock	10	10	230	230	5	20	20.5	Sturdy	Gluttony
Shuppet	Ghost	None	75	63	35	33	45	44	2.3	Insomnia	Frisk
Silcoon	Bug	None	35	25	55	25	15	50	10	Shed Skin	---
Skarmory	Steel	Flying	80	40	140	70	70	65	50.5	Sturdy	Keen Eye
Skiploom	Grass	Flying	45	45	50	65	80	55	1	Chlorophyll	Leaf Guard
Skitty	Normal	None	45	35	45	35	50	50	11	Cute Charm	Normalize
Skorupi	Poison	Bug	50	30	90	55	65	40	12	Battle Armor	Sniper
Skuntank	Poison	Dark	93	71	67	61	84	103	38	Stench	Aftermath
Slaking	Normal	None	160	95	100	65	100	150	130.5	Truant	---
Slakoth	Normal	None	60	35	60	35	30	60	24	Truant	---
Slowbro	Water	Psychic	75	100	110	80	30	95	78.5	Oblivious	Own Tempo
Slowking	Water	Psychic	75	100	80	110	30	95	79.5	Oblivious	Own Tempo
Slowpoke	Water	Psychic	65	40	65	40	15	90	36	Oblivious	Own Tempo
Slugma	Fire	None	40	70	40	40	20	40	35	Magma Armor	Flame Body
Smeargle	Normal	None	20	20	35	45	75	55	58	Own Tempo	Technician
Smoochum	Ice	Psychic	30	85	15	65	65	45	6	Oblivious	Forewarn
Sneasel	Dark	Ice	95	35	55	75	115	55	28	Inner Focus	Keen Eye
Snorlax	Normal	None	110	65	65	110	30	160	460	Immunity	Thick Fat
Snorunt	Ice	None	50	50	50	50	50	50	16.8	Inner Focus	Ice Body
Snover	Ice	Grass	62	62	50	60	40	60	50.5	Snow Warning	---
Snubbull	Normal	None	80	40	50	40	30	60	7.8	Intimidate	Run Away
Solrock	Rock	Psychic	95	55	85	65	70	70	154	Levitate	---
Spearow	Normal	Flying	60	31	30	31	70	40	2	Keen Eye	---
Spheal	Ice	Water	40	55	50	50	25	70	39.5	Thick Fat	Ice Body
Spinarak	Bug	Poison	60	40	40	40	30	40	8.5	Insomnia	Swarm
Spinda	Normal	None	60	60	60	60	60	60	5	Own Tempo	Tangled Feet
Spiritomb	Ghost	Dark	92	92	108	108	35	50	108	Pressure	---
Spoink	Psychic	None	25	70	35	80	60	60	30.6	Own Tempo	Thick Fat
Squirtle	Water	None	48	50	65	64	43	44	9	Torrent	---
Stantler	Normal	None	95	85	62	65	85	73	71.2	Intimidate	Frisk
Staraptor	Normal	Flying	120	50	70	50	100	85	24.9	Intimidate	---
Staravia	Normal	Flying	75	40	50	40	80	55	15.5	Intimidate	---
Starly	Normal	Flying	55	30	30	30	60	40	2	Keen Eye	---
Starmie	Water	Psychic	75	100	85	85	115	60	80	Natural Cure	Illuminate
Staryu	Water	None	45	70	55	55	85	30	34.5	Natural Cure	Illuminate
Steelix	Steel	Ground	85	55	200	65	30	75	400	Sturdy	Rock Head
Stunky	Poison	Dark	63	41	47	41	74	63	19.2	Stench	Aftermath
Sudowoodo	Rock	None	100	30	115	65	30	70	38	Sturdy	Rock Head
Suicune	Water	None	75	90	115	115	85	100	187	Pressure	---
Sunflora	Grass	None	75	105	55	85	30	75	8.5	Chlorophyll	Solar Power
Sunkern	Grass	None	30	30	30	30	30	30	1.8	Chlorophyll	Solar Power
Surskit	Bug	Water	30	50	32	52	65	40	1.7	Swift Swim	---
Swablu	Normal	Flying	40	40	60	75	50	45	1.2	Natural Cure	---
Swalot	Poison	None	73	73	83	83	55	100	80	Sticky Hold	Liquid Ooze
Swampert	Water	Ground	110	85	90	90	60	100	81.9	Torrent	---
Swellow	Normal	Flying	85	50	60	50	125	60	19.8	Guts	---
Swinub	Ice	Ground	50	30	40	30	50	50	6.5	Oblivious	Snow Cloak
Taillow	Normal	Flying	55	30	30	30	85	40	2.3	Guts	---
Tangela	Grass	None	55	100	115	40	60	65	35	Chlorophyll	Leaf Guard
Tangrowth	Grass	None	100	110	125	50	50	100	128.6	Chlorophyll	Leaf Guard
Tauros	Normal	None	100	40	95	70	110	75	88.4	Intimidate	Anger Point
Teddiursa	Normal	None	80	50	50	50	40	60	8.8	Pickup	Quick Feet
Tentacool	Water	Poison	40	50	35	100	70	40	45.5	Clear Body	Liquid Ooze
Tentacruel	Water	Poison	70	80	65	120	100	80	55	Clear Body	Liquid Ooze
Togekiss	Normal	Flying	50	120	95	115	80	85	38	Serene Grace	Hustle
Togepi	Normal	None	20	40	65	65	20	35	1.5	Serene Grace	Hustle
Togetic	Normal	Flying	40	80	85	105	40	55	3.2	Serene Grace	Hustle
Torchic	Fire	None	60	70	40	50	45	45	2.5	Blaze	---
Torkoal	Fire	None	85	85	140	70	20	70	80.4	White Smoke	---
Torterra	Grass	Ground	109	75	105	85	56	95	310	Overgrow	---
Totodile	Water	None	65	44	64	48	43	50	9.5	Torrent	---
Toxicroak	Poison	Fighting	106	86	65	65	85	83	44.4	Dry Skin	Anticipation
Trapinch	Ground	None	100	45	45	45	10	45	15	Hyper Cutter	Arena Trap
Treecko	Grass	None	45	65	35	55	70	40	5	Overgrow	---
Tropius	Grass	Flying	68	72	83	87	51	99	100	Chlorophyll	Solar Power
Turtwig	Grass	None	68	45	64	55	31	55	10.2	Overgrow	---
Typhlosion	Fire	None	84	109	78	85	100	78	79.5	Blaze	---
Tyranitar	Rock	Dark	134	95	110	100	61	100	202	Sand Stream	---
Tyrogue	Fighting	None	35	35	35	35	35	35	21	Guts	Steadfast
Umbreon	Dark	None	65	60	110	130	65	95	27	Synchronize	---
Unown	Psychic	None	72	72	48	48	48	48	5	Levitate	---
Ursaring	Normal	None	130	75	75	75	55	90	125.8	Guts	Quick Feet
Uxie	Psychic	None	75	75	130	130	95	75	0.3	Levitate	---
Vaporeon	Water	None	65	110	60	95	65	130	29	Water Absorb	---
Venomoth	Bug	Poison	65	90	60	75	90	70	12.5	Shield Dust	Tinted Lens
Venonat	Bug	Poison	55	40	50	55	45	60	30	Compoundeyes	Tinted Lens
Venusaur	Grass	Poison	82	100	83	100	80	80	100	Overgrow	---
Vespiquen	Bug	Flying	80	80	102	102	40	70	38.5	Pressure	---
Vibrava	Ground	Dragon	70	50	50	50	70	50	15.3	Levitate	---
Victreebel	Grass	Poison	105	100	65	60	70	80	15.5	Chlorophyll	---
Vigoroth	Normal	None	80	55	80	55	90	80	46.5	Vital Spirit	---
Vileplume	Grass	Poison	80	100	85	90	50	75	18.6	Chlorophyll	---
Volbeat	Bug	None	73	47	55	75	85	65	17.7	Illuminate	Swarm
Voltorb	Electric	None	30	55	50	55	100	40	10.4	Static	Soundproof
Vulpix	Fire	None	41	50	40	65	65	38	9.9	Flash Fire	---
Wailmer	Water	None	70	70	35	35	60	130	130	Oblivious	Water Veil
Wailord	Water	None	90	90	45	45	60	170	398	Oblivious	Water Veil
Walrein	Ice	Water	80	95	90	90	65	110	150.6	Thick Fat	Ice Body
Wartortle	Water	None	63	65	80	80	58	59	22.5	Torrent	---
Weavile	Dark	Ice	120	45	65	85	125	70	34	Pressure	---
Weedle	Bug	Poison	35	20	30	20	50	40	3.2	Shield Dust	---
Weepinbell	Grass	Poison	90	85	50	45	55	65	6.4	Chlorophyll	---
Weezing	Poison	None	90	85	120	70	60	65	9.5	Levitate	---
Whiscash	Water	Ground	78	76	73	71	60	110	23.6	Oblivious	Anticipation
Whismur	Normal	None	51	51	23	23	28	64	16.3	Soundproof	---
Wigglytuff	Normal	None	70	75	45	50	45	140	12	Cute Charm	---
Wingull	Water	Flying	30	55	30	30	85	40	9.5	Keen Eye	---
Wobbuffet	Psychic	None	33	33	58	58	33	190	28.5	Shadow Tag	---
Wooper	Water	Ground	45	25	45	25	15	55	8.5	Damp	Water Absorb
Wormadam	Bug	Ground	79	59	105	85	36	60	6.5	Anticipation	---
Wormadam-G	Bug	Grass	59	79	85	105	36	60	6.5	Anticipation	---
Wormadam-S	Bug	Steel	69	69	95	95	36	60	6.5	Anticipation	---
Wurmple	Bug	None	45	20	35	30	20	45	3.6	Shield Dust	---
Wynaut	Psychic	None	23	23	48	48	23	95	14	Shadow Tag	---
Xatu	Psychic	Flying	75	95	70	70	95	65	15	Synchronize	Early Bird
Yanma	Bug	Flying	65	75	45	45	95	65	38	Speed Boost	Compoundeyes
Yanmega	Bug	Flying	76	116	86	56	95	86	51.5	Speed Boost	Tinted Lens
Zangoose	Normal	None	115	60	60	60	90	73	40.3	Immunity	---
Zapdos	Electric	Flying	90	125	85	90	100	90	52.6	Pressure	---
Zigzagoon	Normal	None	30	30	41	41	60	38	17.5	Pickup	Gluttony
Zubat	Poison	Flying	45	30	35	40	55	40	7.5	Inner Focus	---
