PKAIM	383							"Buff, self"										"Debuff, Enemy"									Ailment					"Ailment, Volatile"								
Name	Type	PP	P.Accuracy	Power	Damage	Target	Priority	Atk	SpA	Def	SpD	Spe	Hitpoints	Evasion	Accuracy	Critical	S.Accuracy	Atk	SpA	Def	SpD	Spe	Hitpoints	Evasion	Accuracy	Critical	Burn	Freeze	Paralysis	Poison	Sleep	Confusion	Flinch	Identify	Infatuation	Lock On	Nightmare	P. Trap	Other	Description
fire spin	Fire	15	70	15	2	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	---	The foe becomes trapped within a fierce vortex of fire that rages for two to five turns.
fissure	Ground	5	30	Var	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"ModHP(target,((self.level-target.level)+30)/100,-1*target.HP)"	The user opens up a fissure in the ground and drops the foe in. The target instantly faints if it hits.
flail	Normal	15	100	Var	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SetDMG(Always,64*self.%HP)"	The user flails about aimlessly to attack. It becomes more powerful the less HP the user has.
flame wheel	Fire	25	100	60	1	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	---	The user cloaks itself in fire and charges at the foe. It may also leave the target with a burn.
flamethrower	Fire	15	100	95	2	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	---	The foe is scorched with an intense blast of fire. The target may also be left with a burn.
flare blitz	Fire	15	100	120	1	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	"ModHP(self,onHit,-0.33*dmg)"	"The user cloaks itself in fire and charges at the foe. The user sustains serious damage, too."
flash	Normal	20	100	---	0	1	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user flashes a light that cuts the foe's accuracy. It can also be used to illuminate caves.
flash cannon	Steel	10	100	80	2	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user gathers all its light energy and releases it at once. It may also lower the foe's Sp. Def stat.
fling	Dark	10	100	Var	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	!FLING	The user flings its held item at the foe to attack. Its power and effects depend on the item.
fly	Flying	15	95	90	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"delay(fly,1)"	"The user soars, then strikes on the second turn. It can also be used for flying to any familiar town."
focus blast	Fighting	5	70	120	2	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user heightens its mental focus and unleashes its power. It may also lower the target's Sp. Def.
focus energy	Normal	30	---	---	0	1	0	0	0	0	0	0	0	0	0	2	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FailIf(self.AccuracyBuff >=2)	The user takes a deep breath and focuses to raise the critical-hit ratio of its attacks.
focus punch	Fighting	20	100	150	1	1	-3	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FailIf(self.InjuredThisTurn)	The user focuses its mind before launching a punch. It will fail if the user is hit before it is used.
follow me	Normal	20	100	---	0	0	3	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	!FOLLOWME	"The user draws attention to itself, making all foes take aim only at the user."
force palm	Fighting	10	100	60	1	1	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	---	The foe is attacked with a shock wave. It may also leave the target paralyzed.
foresight	Normal	40	100	---	0	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	!FORESIGHT	Enables the user to hit a Ghost type with any type of move. It also enables the user to hit an evasive foe.
frenzy plant	Grass	5	90	150	2	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SetStatus(self,flinch,1)"	The foe is slammed with an enormous tree. The user can't move on the next turn.
frustration	Normal	20	100	102	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	A full-power attack that grows more powerful the less the user likes its Trainer.
fury attack	Normal	20	85	15	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"MultiAtck(2-3,75%)|MultiAtck(4-5,25%)"	The foe is jabbed repeatedly with a horn or beak two to five times in a row.
fury cutter	Bug	20	95	10	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	compoundDMG(2) // MAX 5	The foe is slashed with scythes or claws. Its power increases if it hits in succession.
fury swipes	Normal	15	80	18	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"MultiAtck(2-3,75%)|MultiAtck(4-5,25%)"	The foe is raked with sharp claws or scythes for two to five times in quick succession.
future sight	Psychic	15	90	80	2	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"delay(noImmortal,3);NoSTAB;ignoreShield"	"Two turns after this move is used, the foe is attacked with a hunk of psychic energy."
giga drain	Grass	10	100	60	2	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"ModHP(self,.5*dmgInflicted)"	A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
giga impact	Normal	5	90	150	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SetStatus(self,flinch,1)"	The user charges at the foe using every bit of its power. The user must rest on the next turn.
glare	Normal	30	100	---	0	1	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	---	The user intimidates the foe with the pattern on its belly to cause paralysis.
grass knot	Grass	20	100	Var	2	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	!GRASSKNOT	"The user snares the foe with grass and trips it. The heavier the foe, the greater the damage."
grasswhistle	Grass	15	100	---	0	1	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	---	The user plays a pleasant melody that lulls the foe into a deep sleep.
gravity	Psychic	5	---	---	0	7	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SetEnvironment(Gravity)	"Gravity is intensified for five turns, making moves involving flying unusable and negating Levitation."
growl	Normal	40	100	---	0	3	0	0	0	0	0	0	0	0	0	0	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	"The user growls in an endearing way, making the foe less wary. The target's Attack stat is lowered."
growth	Normal	40	---	---	0	0	0	0	1	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user's body is forced to grow all at once. It raises the Sp. Atk stat.
grudge	Ghost	5	100	---	0	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"FailIf(!self.InjuredthisTurn);SetPP(target,target.attackingMove,0)"	"If the user faints, the user's grudge fully depletes the PP of the foe's move that knocked it out."
gunk shot	Poison	5	70	120	1	1	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	---	The user shoots filthy garbage at the foe to attack. It may also poison the target.
gust	Flying	35	100	40	2	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	A gust of wind is whipped up by wings and launched at the foe to inflict damage.
gyro ball	Steel	5	100	Var	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SetDMG(always,min(150,1+25*target.speed/user.speed))"	"The user tackles the foe with a high-speed spin. The slower the user, the greater the damage."
hail	Ice	10	---	---	0	7	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SetEnvironment(Hail)	The user summons a hailstorm lasting five turns. It damages all Pokémon except the Ice type.
hammer arm	Fighting	10	90	100	1	1	0	0	0	0	0	-1	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	"The user swings and hits with its strong and heavy fist. It lowers the user's Speed, however."
harden	Normal	30	---	---	0	0	0	0	0	1	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user stiffens all the muscles in its body to raise its Defense stat.
haze	Ice	30	100	---	0	7	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	!HAZE	The user creates a haze that eliminates every stat change among all the Pokémon engaged in battle.
head smash	Rock	5	80	150	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"ModHP(self,-.5*dmgInflicted)"	The user delivers a life-endangering head butt at full power. The user also takes terrible damage.
headbutt	Normal	15	100	70	1	1	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	---	The user sticks its head out and rams straight forward. It may make the foe flinch.
heal bell	Normal	5	100	---	0	4	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	failIf(target.Ability=Soundproof);cure-ailments	The user makes a soothing bell chime to heal the status problems of all the party Pokémon.
heal order	Bug	10	---	---	0	0	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"ModHP(self, 0.5*self.maxHP)"	The user calls out its underlings to heal it. The user regains up to half of its max HP.
healing wish	Psychic	10	---	---	0	0	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SetHP(self, 0);SetHP(self, self.maxHP);cure-ailments"	"The user faints. In return, the Pokémon taking its place will have its HP restored and status cured."
heat wave	Fire	10	90	100	2	5	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	---	The user exhales a heated breath on the foe to attack. It may also leave the target with a burn.
hi jump kick	Fighting	20	90	100	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"FailIf(!attackMisses);ModHP(self,-.5*dmg)"	"The foe is attacked with a knee kick from a jump. If it misses, the user is hurt instead."
hidden power	None	15	100	Var	2	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	!HIDDENPOWER	Hidden Power inflicts damage using a type and base power determined by the user's Ivs.
horn attack	Normal	25	100	65	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The foe is jabbed with a sharply pointed horn to inflict damage.
howl	Normal	40	---	---	0	0	0	1	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	"The user howls loudly to raise its spirit, boosting its Attack stat."
hurt confusion	None	5	100	40	1	0	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	"When a Pokemon is confused, it has a chance to hurt itself in confusion for 1-4 actual attacks"
hydro cannon	Water	5	90	150	2	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SetStatus(self,flinch,1)"	"The foe is hit with a watery blast. The user must rest on the next turn, however."
hydro pump	Water	5	80	120	2	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The foe is blasted by a huge volume of water launched under great pressure.
hyper beam	Normal	5	90	150	2	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SetStatus(self,flinch,1)"	The foe is attacked with a powerful beam. The user must rest on the next turn to regain its energy.
hyper fang	Normal	15	90	80	1	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	---	The user bites hard on the foe with its sharp front fangs. It may also make the target flinch.
hyper voice	Normal	10	100	90	2	5	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user lets loose a horribly echoing shout with the power to inflict damage.
hypnosis	Psychic	20	100	---	0	1	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	---	The user employs hypnotic suggestion to make the target fall into a deep sleep.
ice ball	Ice	20	90	30	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"lock-in(self,always,5);compoundDMG(2)"	The user continually rolls into the foe over five turns. It becomes stronger each time it hits.
ice beam	Ice	10	100	95	2	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	---	The foe is struck with an icy-cold beam of energy. It may also freeze the target solid.
ice fang	Ice	15	95	65	1	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	---	The user bites with cold-infused fangs. It may also make the foe flinch or freeze.
ice punch	Ice	15	100	75	1	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	---	The foe is punched with an icy fist. It may leave the target frozen.
ice shard	Ice	30	100	40	1	1	1	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user flash freezes chunks of ice and hurls them. This move always goes first.
icicle spear	Ice	30	100	10	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"MultiAtck(2-3,75%)|MultiAtck(4-5,25%)"	The user launches sharp icicles at the foe. It strikes two to five times in a row.
icy wind	Ice	15	95	55	2	5	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user attacks with a gust of chilled air. It also lowers the target's Speed stat.
ingrain	Grass	20	100	---	0	0	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Regen(self,0.083*self.maxHP,Infinite);taunt(self);SetImmunity(target,ground,0)"	"The user lays roots that restore HP on every turn. Because it is rooted, it can't switch out."
iron defense	Steel	15	---	---	0	0	0	0	0	2	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	"The user hardens its body's surface like iron, sharply raising its Defense stat."
iron head	Steel	15	100	80	1	1	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	---	The foe slams the target with its steel-hard head. It may also make the target flinch.
iron tail	Steel	15	75	100	1	1	0	0	0	0	0	0	0	0	0	0	30	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The foe is slammed with a steel-hard tail. It may also lower the target's Defense stat.
jump kick	Fighting	25	95	85	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"FailIf(!attackMisses);ModHP(self,-.5*dmg)"	"The user jumps up high, then strikes with a kick. If the kick misses, the user hurts itself."
knock off	Dark	20	100	20	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SetItem(target,Always,none)"	"The user slaps down the foe's held item, preventing the item from being used during the battle."
last resort	Normal	5	100	130	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	!LASTRESORT	This move can be used only after the user has used all the other moves it knows in the battle.
lava plume	Fire	15	100	80	2	6	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	---	An inferno of scarlet flames washes over all Pokémon in battle. It may also inflict burns.
leaf blade	Grass	15	100	90	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	High-Crit	The foe is slashed with a sharp leaf. It has a high critical-hit ratio.
leaf storm	Grass	5	90	140	2	1	0	0	-2	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	A storm of sharp leaves is whipped up. The attack's recoil sharply reduces the user's Sp. Atk stat.
leech life	Bug	15	100	20	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"ModHP(self,.50*dmgInflicted)"	A blood-draining attack. The user's HP is restored by half the damage taken by the target.
leech seed	Grass	10	90	---	0	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	!LEECHSEED	A seed is planted on the foe. It steals some HP from the foe to heal the user on every turn.
leer	Normal	30	100	---	0	3	0	0	0	0	0	0	0	0	0	0	100	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The foe is given an intimidating leer with sharp eyes. The target's Defense stat is reduced.
light screen	Psychic	30	100	---	0	2	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	!LIGHTSCREEN(PHYSICAL)	A wondrous wall of light is put up to suppress damage from special attacks for five turns.
lovely kiss	Normal	10	100	---	0	1	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	---	"With a scary face, the user forces a kiss on the foe. It may make the target fall asleep."
low kick	Fighting	20	100	Var	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	!LOWKICK	A powerful low kick that makes the foe fall over. It inflicts greater damage on heavier foes.
lunar dance	Psychic	10	---	---	0	0	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SetHP(self, 0);SetHP(self, self.maxHP);cure-ailments;restore-pp"	"The user faints. In return, the Pokémon taking its place will have its status and HP fully restored."
mach punch	Fighting	30	100	40	1	1	1	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user throws a punch at blinding speed. It is certain to strike first.
magic coat	Psychic	15	100	---	0	0	4	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	!MAGICCOAT	A barrier reflects back to the foe moves like Leech Seed and moves that damage status.
magical leaf	Grass	20	100	60	2	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Always-Hits	The user scatters curious leaves that chase the foe. This attack will not miss.
magnet bomb	Steel	20	100	60	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Always-Hits	The user launches a steel bomb that sticks to the target. This attack will not miss.
magnet rise	Electric	10	---	---	0	0	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SetStatus(self,levitate,5)"	The user levitates using electrically generated magnetism for five turns.
me first	Normal	20	---	---	0	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"FailIf(!self.InjuredThisTurn);useMove(lastmove);SetDMG(always,1.5*dmg)"	The user tries to cut ahead of the foe to steal and use the foe's intended move with greater power.
mean look	Normal	5	100	---	0	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	taunt(target)	"The user affixes the foe with a dark, arresting look. The target becomes unable to flee."
mega drain	Grass	15	100	40	2	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"ModHP(self,.5*dmgInflicted)"	A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
mega kick	Normal	5	75	120	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The foe is attacked by a kick launched with muscle-packed power.
mega punch	Normal	20	85	80	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The foe is slugged by a punch thrown with muscle-packed power.
megahorn	Bug	10	85	120	1	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	"Utilizing its tough and impressive horn, the user rams into the foe  with no letup."
memento	Dark	10	100	---	0	1	0	0	0	0	0	0	0	0	0	0	100	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SetHP(self,always,0)"	"The user faints upon using this move. In return, it sharply lowers the target's Attack and Sp. Atk."
metal burst	Steel	10	100	Var	1	0	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"ModHP(attacker,self.InjuredThisTurn,attacker.dmg*1.5)"	The user retaliates against the foe that last inflicted damage on it with much greater power.
metal claw	Steel	35	95	50	1	1	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The foe is raked with steel claws. It may also raise the user's Attack stat.
metal sound	Steel	40	100	---	0	1	0	0	0	0	0	0	0	0	0	0	85	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	A horrible sound like scraping metal is emitted to sharply reduce the foe's Sp. Def stat.
meteor mash	Steel	10	85	100	1	1	1	1	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The foe is hit with a hard punch fired like a meteor. It may also raise the user's Attack.
metronome	Normal	10	100	---	0	Var	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	useMove(rand())	The user waggles a finger and stimulates the brain into randomly using nearly any move.
milk drink	Normal	10	---	---	0	0	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"ModHP(self, 0.5*self.maxHP)"	The user restores its own HP by up to half of its maximum HP. It may also be used to heal an ally's HP.
mimic	Normal	10	100	---	0	Var	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	!MIMIC	The user copies the move last used by the foe. The move can be used for the rest of the battle.
mind reader	Normal	40	100	---	0	1	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	---	The user senses the foe's movements with its mind to ensure its next attack does not miss.
mirror coat	Psychic	20	100	Var	2	0	-5	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"ModHP(attacker,self.InjuredThisTurn&attack.isSpecial,attacker.dmg*2)"	"A retaliation move that counters any special attack, inflicting double the damage taken."
mirror move	Flying	20	100	---	0	0	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	useMove(lastMove)	The user counters the foe by mimicking the move last used by the foe.
mirror shot	Steel	10	85	65	2	1	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user looses a flash of energy from its polished body. It may also lower the target's accuracy.
moonlight	Normal	5	100	---	0	0	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"ModHP(self,Always,0.5*self.maxHP*(currentWeather(sun)?1.33:1)*(currentWeather(hail|rain|sandstorm)?0.5:1)"	The user restores its own HP. The amount of HP regained varies with the weather.
morning sun	Normal	5	100	---	0	0	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"ModHP(self,Always,0.5*self.maxHP*(currentWeather(sun)?1.33:1)*(currentWeather(hail|rain|sandstorm)?0.5:1)"	The user restores its own HP. The amount of HP regained varies with the weather.
mud bomb	Ground	10	85	65	2	1	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user launches a hard-packed mud ball to attack. It may also lower the target's accuracy.
mud shot	Ground	15	95	55	2	1	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user attacks by hurling a blob of mud at the foe. It also reduces the target's Speed.
mud sport	Ground	15	100	---	0	7	0	0	0	0	0	0	0	0	0	0	---	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"PowerUp(Electric,0.5,self.SwitchesOut)"	The user covers itself with mud. It weakens Electric-type moves while the user is in the battle.
mud-slap	Ground	10	100	20	2	1	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user hurls mud in the foe's face to inflict damage and lower its accuracy.
nasty plot	Dark	20	---	---	0	0	0	0	2	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	---	The user stimulates its brain by thinking bad thoughts. It sharply raises the user's Sp. Atk.
